stt,word,lucky_number
330,con chấy,92-95-98
331,con chim,56-80
332,con chó con,48-49
333,con chó nhật,76
334,con chó,29-59-95
335,con chuột nhà,17-49
336,con chuột,02-20-55
337,con cóc,04
338,con công,98-67
339,con cua,67-89
340,con dê,15-35-75
341,con dệp,82-85
342,con đĩ,01-21-26
343,con đỉa,43
344,con điên,52-08-89
345,con ếch,28-43
346,con gái mình chết,35
347,con hạc,17-57
348,con hổ,06-60-30-46
349,con khỉ,72-27
350,con lợn,76
351,con lươn,56-90
352,con mèo,18-58-89
353,con mình chết,35
354,con mọt,05-39
355,con muỗi,46
356,con nai,34-48
357,con ngỗng,08-83
358,con ngựa,12-52-72
359,con nhái,26-62
360,con nhện,33-73
361,con ở,25-65-76
362,con ốc nhồi,67
363,con ốc,65
364,con quạ,25-62-65
365,con rái cá,48-79
366,con rắn,32-42-72
367,con rệp,98
368,con rết,94
369,con rồng,10-50-90
370,con ruồi,35
371,con sò,48
372,con sóc,69-79
373,con tàu,42-82
374,con thỏ,08-48-69
375,con thuyền,33-38
376,con tim,11-31-51-71
377,con tin,85-97
378,con tôm,58
379,con trai cho vàng,43
380,con trai đầu lòng,79
381,con trăn đầy người,86-87
382,con trăn,03-63
383,con trâu,03-63-86
384,con trĩ,01-21-61-26
385,con vẹm,61-62
386,con vịt,49
387,con voi,13-53
388,công an,14-34-54
389,cổng chào,20-40-80
390,cống rãnh,04-44
391,cổng trào,40-80-20
392,cột điện,11
393,củ cà rốt,01-51
394,củ khoai,75-95
395,củ su hào,00-01-06
396,cua bể,05-46-65
397,của đàn bà,27-87-28
398,cúng chay,37-71
399,cúng người chết,74
400,cúng tổ tiên,40-46
402,cuốc xẻng,65-54
403,cưỡi ngựa,41
404,cưới vợ,70-65-69
405,cười với bản thân,21-61
406,cười với nam,09-59
407,cười với phụ nữ,07-09
408,cưỡng ép,03-38-83
409,cứt bám lên mặt,03-07
410,cứt bám ngón tay,00-05
411,cứt bê bết đi mưa,14-41
412,cứt đầy ống quần phải thay,91-92
413,cứt vứt vào nhà,63
414,cứt,63-13
415,cứu đàn ông khỏi chết đuối,54
416,cứu người rơi xuống ao,07-16-18
417,đá bóng,00-09-08-05
418,đá lửa,06-60
419,đái dầm,20-60-70
420,đám cưới,07-09-75
421,đám ma,34-35-35
422,đắm thuyền trong ao,38-54
423,đàn bà chửa,10-82
424,đàn bà ghen,09-23
425,đàn bà khỏa thân,03-32
426,đàn chó,36-63
427,đàn kiến,29
428,đàn lợn,38-49
429,đàn ông khỏa thân,15-51
430,đàn ông ăn mày,04-54
431,đàn ông chết,06-26
432,đàn ông ghen,09-12-31
433,đàn trâu,31-51
434,đánh chết người,45-85
435,đánh chết rắn,25
436,đánh cuộc,27-72
437,đánh cướp,08-84
438,đánh đĩ,57-75
439,đánh ghen,49-87
440,đánh nhau bằng kiếm,60-61
441,đánh nhau có vũ khí,03
442,đánh nhau đổ máu,00-31-34-75
443,đánh nhau ném lựu đạn,67
444,đánh nhau,03-07-59
445,đánh răng,67-47-79
446,đánh vợ,52-51-53
447,đào đất,56
448,dao găm,07-17
449,đào giếng,65
450,đào móng nhà,47-74
451,dao phay,85
452,dao xây,16-61
453,dắt bò,02-28
454,dắt trâu,29
455,dầu hỏa,17-71-16-61
456,đầu nhiều chấy,78
457,đầu trâu,51-71-91
458,đầu vú,38-39-84
459,dây chuyền vàng,08-80
460,dậy võ,56-06
461,dây xích,04-46-61
462,đe dọa,37-73-78
463,đẻ ra cá,00-01-99-94
464,đẻ ra mèo,01-23-62
465,dê,56
466,đền cổ,46-66
467,đèn ông sao,44-55
468,đèn thần,07-57-75
469,đi bộ đội,15-53
470,đi câu không được cá,23-24-12
471,đi câu,64-74-24
472,đi chơi xuân,19-39
473,đi đái dắt,98-99
474,đi đánh được cá,76-87-78
475,đi đổ cứt,15-16-61
476,đi đò dọc,73-37-32
477,đi đò,73-04-44
478,đi du lịch,87
479,đi học,17
480,đi ỉ chảy,01-06
481,đi ỉ gặp người,67-76
482,đi ỉa chảy,01-06
483,đi ỉa đông người,08-09
484,đi ỉa gặp người,67-76
485,đi ỉa,86-98
486,đi làm,01-21-26
487,đi lễ,12-21
488,đi mua giầy,56-06
489,đi phà qua sông,17-18
490,đi tắm,39-93-83
491,đi tàu,39-87-78
492,đi thi,26
493,đi thuyền,23-59-93-39
494,đi trên sông,15-05
495,đi vắng,05-20-25
496,đi về gặp mưa,08-70-07
497,đi xa đánh nhau,93-39
498,đi xa ngoại tình,23-59
499,đi xe cúp,85-57
500,đỉa bám đầy người,28-11
501,đỉa bán vào chân,29
502,đỉa cắn người,58
503,địa ngục,12-63
504,diều hâu,68-67
505,đình chùa,01-40-80
506,đôi bít tất,96-39-83
507,đôi chim bồ câu,02-22
508,đôi dép,33-81
509,đôi giày ba ta,02-03
510,đòi nợ,53-35
511,đồi núi,68-86-81
512,đôi vẹt,83-87
513,đói,13-93-59
514,đom đóm,19-59
515,dọn nhà vệ sinh,26-62
516,dông bão,08
517,đồng hồ,95-58
518,đống lửa,08-48
519,đống rơm,25-50-27
520,đóng thuyền,04-44-71-54
521,động trạm của quý của đàn bà,65-63
522,đốt lò sưởi,03-37
523,đưa tang,27-72
524,dùng lửa đốt súc vật,48
525,đứng trên mái nhà,46-64
526,được bạc,82
527,được của,53-78-80
528,được thưởng,82-32
529,được tiền chia hai,05-50
530,được tiền,08-78
531,được vàng,01-10-15-75
532,đuổi bắt,15-57-72
533,dương vật,21-12-51
534,ếch,86
535,et xăng,64-74
536,gà con,07-08
537,gà thịt rồi,28-36
538,gà trống,55-57
539,gái đẹp,38-83
540,gặp ăn xin,24-76-86
541,gặp cây đa,09-05-12
542,gặp cụ già đạo đức,41-64-62
543,gặp đàn bà,28-87
544,gặp đàn ông,26-27
545,gặp gà,33-45-57
546,gặp lợn,59-62-27
547,gặp người nhà,70-75-78
548,gặp người yêu,46-47-87
549,gặp phà,28-52-93
550,gặp tiền,01-76-67
551,giá treo cổ,84-68
552,giải thoát,84-85
553,giáo viên,52-57
554,giấy tờ ướt,26-66
555,giếng nước,29-92
556,gieo trồng,57-46
557,giết lợn,82-32
558,giết người,83-47
559,giò chả,22-43
560,giò,78-84-89
561,giông bão,08-58-53
562,giun,11-94
563,hà mã,56
564,hai anh em bế nhau,73
565,hai bàn thờ,46-96-91
566,hai bố con,32-82-98
567,hai chị em gái đánh nhau,45-57
568,hai con chó,96-94
569,hai con mèo cắn nhau,86
570,hai lần thấy mẹ,62-83-68-80
571,hai người đàn ông chết đuối,04-06
572,hai người khiêng quan tài,83-87
573,hai quan tài,26-16-36
574,hai thằng ăn cắp,26-62
575,hãm hại,84
576,hầm tối tăm,87-82-87
577,hàn bánh xe,41-46
578,hành kinh,67-68
579,hát văn,25-50-55
580,heo rừng,78
581,hiện vật,65-56
582,hiếp dâm,92-84
583,hổ,78
584,hoa sen,45
585,hoa súng,10-20
586,hoàng tử,83-38
587,học trò,27-37
588,hòm đạn,90-95-59
589,hồn người chết,04-40-80-84
590,hôn nhau,00-84
591,hồn quý,75
592,hùm beo,29-40
593,hương cháy,07-20-70-57
594,hương đèn,06-31-63-82
595,ỉa bậy chùi đít không sạch,86-98-49-39
596,kè cầu ao,66-61-70
597,kẻ chăn trâu,13-31-60
598,kẻ cướp,03-83
599,kẻ trộm cậy cửa,79-20
600,kéo thuyền trên sông,06-60
601,kéo thuyền,38-83-88
602,kêu cứu,35-65
603,khách hàng,30-89
604,khách sạn,32-47
605,khai thác vàng,12-21-10-01
606,khâm phục,37-73
607,khăn mặt,73-96
608,khăn màu hồng,04-24
609,khăn nhung,78-87
610,khẩu pháo,70-72
611,khâu vá,36
612,khí giới,07-70
613,khỉ,56
614,khiêu vũ,42-47-43
615,khó đẻ,19-91-96
616,khỏa thân,18-81-48-48
617,khoai lang,51-52-95
618,khoang tầu,41-71
619,khoe,56-59
620,kì lân,65-78
621,kiếm,96
622,kim chỉ,11-94-15
623,lá rụng,51-59
624,lá thư,75-76-83
625,lá vàng,86-48
626,lái buôn,32
627,làm cổng,56
628,làm nhà hộ bạn,07-19
629,làm tình,19-69
630,lâu đài bị đốt,03-87
631,lâu đài,82-87
632,lấy đàn bà điên,83
633,lấy nước trong bể,02-07
634,lịch bắt cá,21-32
635,lò sưởi tắt,42-47
636,lọc dầu,37-57-97
637,lội ao vớt bèo,08-18
638,lội bì bõm,04-09-32
639,lội ruộng,09-90-99
640,lợn cắn,17-71-61
641,lợn đen nhỏ,38
642,lợn nhà,39
643,lợn quay,04-40
644,lớn trắng,74-79
645,lớp học đông người,81-84
646,lốp xe đạp,01-08
647,lửa cháy,07-27-67-87
648,lửa đảo,59
649,lửa đốt dế mèn,27-72
650,lúa gạo,08-80
651,lựu đạn,54-46
652,ma đuổi,33-34-35
653,ma hiện hình,37
654,mặc áo đẹp,12-33
655,mặc nhiều quần áo,79
656,mặc nhiều quần,06
657,mâm cơm nhiều người,29-94
658,mâm cơm,78-87
659,mất bô rô,52-28
660,mất cắp,86-84-39
661,mất của,35-44-66
662,mặt nạ,30-35-32
663,mất tiền,69-71
664,mặt trăng,18-81
665,mất trộm ti vi,15-78
666,mất trộm,01-03-43
667,mất ví,67
668,mất xe đạp lại tìm thấy được,28-13-61
669,mất xe đạp,28-82
670,mất xe tìm thấy được,67-64
671,mất xe tìm thấy,28-82-92
672,mắt,62-82-11-21-91-15
673,máu chảy nhiều,84-86-38
674,màu đỏ,28-68-82
675,màu trắng,01
676,màu vàng,10
677,màu xanh,09-90-45-95
678,máy bay đổ,59-95
679,máy bay,47-74-71-17
680,máy bơm nước,25-52
681,máy khâu,78-87
682,may quần áo mới,54
683,may,79-98-25
684,mẹ bế con gái,64-14
685,mẹ bế con trai,81-11-51
686,mẹ con,63-20
687,mẹ đỡ đầu,26-67-76
688,mèo cắn,29-14-41
689,mèo nằm ngủ,00-58
690,mèo nhà,18-81
691,mèo rừng,14-54-94
692,mèo trắng,23-32
693,mình bắn súng lục,61
694,mình bị bắt,84
695,mình bị đuổi,94-85
696,mình chém người,56
697,mình đá bóng,49-62
698,mình đỏ,72-91
699,mình ở khách sạn,64-69
700,mình thoát chết,86-87
701,mơ bố chết nhưng bố chưa chết,83-75
702,mơ chồng ngoại tình,90-87
703,mơ có vàng ngọc,03-63-83
704,mơ đi học,17-41-91-71
705,mơ hai chữ số,64-14
706,mơ hiện rõ hình,96-46
707,mơ lai gái,14-41
708,mồ mả,36-76
709,mơ mình bán hàng ăn,06-07
710,mơ ngủ,33-35-73
711,mơ người dị dạng,84-86
712,mơ nhiều con số,93-39
713,mơ nhiều trăn,95-87
714,mơ rắn vào nhà,22-23-30
715,mơ thấy ai chết không rõ,03-08
716,mơ thấy bà,42-27-51
717,mơ thấy bò,04-88
718,mơ thấy đàn ông,28-59
719,mơ thấy dế,33-45-99
720,mơ thấy đôi vợ chồng hạnh phúc,14-41
721,mơ thấy mẹ chết mà mẹ chưa chết,24-26
722,mơ thấy nhiều con số,92-93
723,mơ thấy tiền xu,01-02
724,mơ thấy tình địch,62-61
725,mơ trẻ con chết,92-65
726,mỏ vàng dưới sông,38-39
727,mơ vợ chết nhưng vợ chưa chết,73-54
728,mơ vợ chết,93-39
729,mơ vợ ngoại tình,03-93
730,mồm,18-81-85
731,món tiền nhỏ,03-07
732,một mình trong quán,79
733,mũ cứng,56-65
734,mũ phớt,01-02
735,mũ sắt,77-27-72
736,mua bán,15-25
737,mưa bão,29-69
738,mưa nhỏ,68-08-78
739,mua quạt điện,35
740,mưa rào,07-67-87
741,mưa,07-47-67-82
742,mực đen,10-90-78
743,múc nước giếng,06-37-63
744,mũi dao,36-76
745,mũi khoan,34-54-74
746,nằm đất,92
747,nam đèo nữ,12-25-92
748,nam đi xe máy,88-38
749,nam nữ yêu nhau,12-21
750,nắng,52-72-29-92
751,nạo thai,53-63-42
752,nếm đồ chua chát,68-54-45
753,nếm đồ ngọt,34-39
754,ném vào ma,65-66
755,ném,05-65-85
756,ngã,66-16-61
757,ngắm vuốt,17-38-81
758,nghe caset điện yếu,74
759,nghệ sỹ,10
760,nghèo khổ,19-14
761,nghi ngờ vàng giả,60
762,nghi ngờ,49-94
763,nghĩa địa,12-72-92
764,ngọc hoàng,05-15-17-95
765,ngọc,45-54-15
766,ngồi gãi chấy,15-14-16
767,ngũ hương,28-92
768,ngủ lang,96-86
769,ngủ với gái,21-61-28-75-57
770,ngủ,04-54-92
771,ngựa ăn cỏ,60-82
772,ngựa bay,77
773,ngựa,01-62
774,người ăn bánh mỳ,69
775,người bệnh,58-85-80
776,người bị chó cắn,96
777,người chết sống lại,85-37
778,người chết,26-65
779,người đàn ông ở trần,13-43
780,người dân tộc đánh nhau,83-37
781,người đập lửa,34-47-69
782,người đầy bùn,32-86
783,người đẻ khó,91
784,người đòi nợ,92-12
785,người già đến,56-86
786,người khó đẻ,91
787,người mẹ tốt,01-22-41
788,người mù,62-82-68
789,người nhà ma nhập,67-87-97
790,người rủ đánh bạc,71
791,người ta đánh mẹ chảy máu đầu,63-68-64
792,người tàn tật,93-91
793,người tây,13-43-93-98
794,người trèo bàn thờ,95-59
795,người trèo xuồng,02-61-89
796,người xa về,45-75-32
797,nhà bán hàng,24-64-78
798,nhà bằng bạc,02
799,nhà bé nhỏ,52-61
800,nhà đất lợp rạ,82-84
801,nhà đẹp,66-16
802,nhà hát,38-83
803,nhà hộ sinh,37-73-71-79
804,nhà mái bằng,46-64
805,nhà mát,32-23
806,nhà máy,48-68-28
807,nhà nghỉ mát,32
809,nhà ngói đỏ,84-92
810,nhà ở bình thường,26-66-86-96
811,nhà to,51-89
812,nhà tối tăm,25-65
813,nhà trẻ,27-37
814,nhà trọ,92-19
815,nhà trong rừng,02-18-51
816,nhà vệ sinh,34-71
817,nhà xe,65-66-67
818,nhận được của bố thí,48
819,nhẫn ngọc,37-73
820,nhận tiền của người con gái,88
821,nhẫn vàng,01-10-00
822,nhện trăng xa,63
823,nhện,56
824,nhiều ghế,44-84
825,nhiều hũ nước đái,96-69
826,nhiều màu,78
827,nhiều người đòi nợ mình,56
828,nhìn thấy máu người chảy,09-54
829,nhổ tóc sâu,64-46-41
830,nóc nhà,86-68
831,nồi áp suất,84-39
832,nói chuyện với bố,51-56
833,nói chuyện với mẹ,57-75
834,nói chuyện với người chết,84-29
835,nói chuyện với người đã chết,75-76-90-92
836,nói dối bạn,09-37
837,nói tục,41-91-96
838,nữ rụng răng,03-53-85
839,nước chảy,35-45-65
840,nước đái có máu,43
841,nước dâng cao,06-56-66
842,nước dâng vào ngõ,06-56
843,nước dâng,06-66-86-56-07-70-50
844,nước lụt,67-68
845,nước mắt,87-85
846,nước sông dâng cao,89-98
847,nước to vào nhà,06-08-56
848,nướng sắn,99-94
849,ổ khóa,95-86
850,ô tô cháy,47-56
851,ô tô hồ lô kẹt chết người,12-21-26
852,ô tô kẹp chết người,07-70
853,ôm nhau,64-85-97
854,ông chủ,21-26-22-27
855,ông cụ già,15-65-56-96
856,ông già cho quà,75
857,ông già,36-56-76
858,Ông sãi bà sãi,16-56-36
859,ông sư,16-61-36
860,ông táo,40-45-80-85
861,ông trời,37
862,ông tượng,82-06-43-88
863,phá ra cười,41-52-57
864,phải lội xuống ao,07
865,pháp sư,09-29-35-96
866,phát minh,06-17-37-97
867,phát sư,08-25-50
868,phật,57-75
869,phóc mơ tuya,99
870,phóng sự,25-26-27
871,phụ hồ,03-08-83
872,phụ lòng,18-28-78
873,phun nước trong nhà,06-66
874,phượng hoàng,13-78-98
875,quả bàng,31-32
876,quả bóng,11-45-72
877,quả bưởi,01-09-70
878,quả cam,05-25-55
879,qụa chết,36-80-85
880,quả chuối,34-43
881,quả đu đủ,58-89
882,quả dừa,50-70-09
883,quả na,13-14
884,quả quất,30-70
885,quả rụng,89-93
886,quả trên cây,84-48
887,quả,26-60
888,quái vật,30-39-17
889,quần áo vá nhiều,01-11
890,quần áo,09-06
891,quản bưởi,17-71
892,quần lót,02-59
893,quán rượu ngoài trời,69
894,quan tài bố nuôi,62-63
895,quan tài chôn rồi,01-51
896,quan tài chưa chôn,04
897,quan tài có xác chết,74-21
898,quan tài mở nắp,31-36
899,quan tài,06-56-26
900,quạt trần,82
901,quét nhà,34-43
902,cuốc xẻng,68
903,quyển vở,18-19
904,ra đa,45-54
905,ra suối mưa to,35-53
906,rắn bơi,21-82
907,rắn cắn gót chân,57
908,rắn cắn người,43-73
909,rắn cắn,14-59-95
910,rắn đất,38-78
911,rắn đuổi,69
912,rắn hai đầu,15-51
913,rắn quấn chân,96
914,rắn quấn người,49-97
915,rắn quấn,05-15-51
916,rắn rết,00-20-28-40-82
917,râu mọc dài,25-57
918,râu,03-53-07-75
919,rệp,26-64
920,rổ đỗ,28-48-68-86
921,rổ trứng,70-30
922,rơi kính đeo,32-89
923,rơm rạ,36-78
924,rồng bay,57-34
925,rùa biển,87
926,rửa chân,86-68
927,rùa,56
928,rụng cả hàm răng,03
929,rụng một chiếc răng,31
930,rụng răng,31-32-52-62
931,sấm sét,94-95-54
932,sang nhà láng giềng,42-43-64
933,sao trên trời,33-38
934,sắt,93-58
935,say rượu,35-45-90
936,sinh đẻ,27-56
937,sinh lí hai người,02-22
938,sổ điểm,30-35
939,sợ ma,75-23-96
940,sổ rách bìa,45-49
941,sổ sách,38-88
942,sông ngòi,42
943,sư sãi bắt đồn,76-46
944,sư tử,25-45
945,sửa lại hố xí,79-70
946,súng ak,86
947,súng b40,18-64
948,súng bắn dài,68
949,súng hơi,00-97
950,suối nước đục,09-18
951,suối nước trong,41-47
952,sụt lở,09-13
953,tai nạn ô tô,69-54
954,tai nạn tàu hỏa,07-26
955,tai nạn xe máy,95
956,tai nạn,00-07-70-46
957,tắm bồn,61-82-76
958,tắm nước lạnh,61-86
959,tắm nước trong,16-61
960,tắm sông,94-76
961,tàn sát,05-59
962,tảng đá,20-40-60-80
963,tập võ,70-72
964,tầu bay,10-11
965,tàu biển,11-70-90
966,tầu hỏa,74-72
967,tàu thủy cháy,38-83
968,tàu thủy,11-16
969,tẩy rửa,62-41-10-01
970,tên lửa,01
971,thạch thùng,32-72
972,tham ăn,69-84
973,thẩm phán quan tòa,24-89
974,thần chết,83-93
975,thần tài,36-39-79-10
976,than thở,90-95
977,thằng điên,74-75
978,thằng hề,03-08
979,thằng ngốc,29-90
980,thành lũy,40-45-54
981,thanh sắt,19-09
982,thất vọng,12-71-64
983,thấy bể nước,87-54-61
984,thầy bói,14-64-49
985,thấy có nước mà không người tắm,32-64-68-37
986,thầy cúng,40-45
987,thấy dây dầu,39
988,thấy người bé nhỏ,45-61
989,thấy người bị ám sát,22-37
990,thấy người bị treo cổ,95-97
991,thấy người cao lớn,21-32
992,thấy người còn trẻ,64-78
993,thấy người đi dạo,32-89
994,thấy người đội mũ,56-89
995,thấy người đốt làng,06-21-48
996,thấy người mua,68
997,thấy người to béo,25-75-74
