STT,Word,Lucky_number
264,Cháy đồ điện,77 - 78 - 79
265,Cháy đống rơm,17 - 71 - 27 - 72
266,Chảy máu,08 - 19 - 29 - 69
267,Cháy nhà,05 - 43 - 67
268,Chấy rận,79 - 84 - 02
269,Chém chuột,92
270,Chém nhau,17 - 37 - 77
271,Chén to,94 - 95
272,Chết đuối sống lại,00 - 06
273,Chết đuối,07 - 30 - 84
274,Chết sống lại,62 - 74
275,Chia ly,52 - 57 - 72
276,Chiến thắng,96 - 86
277,Chim bay,67
278,Chim cánh cụt,24 - 78
279,Chim đậu,87
280,Chim hòa bình,32
281,Chim ỉa vào người,27
282,Chim sẻ đậu,76
283,Chim trời,87
284,Chó cắn chảy máu,98 - 99
285,Chó cắn đuổi,58 - 38
286,Chó cắn,29 - 92 - 93
287,Cho con xe,69 - 96 - 64
288,Cho con,05 - 75
289,Chó đẻ,51 - 91
290,Chó đến nhà,93 - 98
291,Chó đen,94 - 68
293,Chờ đợi,53 - 64
294,Chó đuổi chạy xuống ao,68
295,Chỗ kín đàn ông,01 - 21
296,Cho xe,29 - 79 - 92
297,Chợ,25 - 52
298,Chơi cờ tướng,13 - 31
299,Chơi đá bóng,89 - 97
300,Chơi điện tử,46 - 48 - 84
301,Chơi tú lơ khơ,03 - 62
302,Chơi xuân,19 - 39
303,Chữ số,22 - 82
304,Chú tiểu,36 - 76
305,Chứa bạc,52 - 57 - 63
306,Chùa,05 - 56 - 26
307,Chửi chồng,07 - 57 - 17
308,Chuối,15 - 05 - 95
309,Chuồn chuồn,26 - 65
310,Chuồng xí,39 - 67
311,Chuột bạch,02 - 20
312,Chuột cống,57 - 45
313,Chuột đồng,15 - 51
314,Chuyển nhà xí,09
315,Chuyển nhà,14 - 16
316,Chý mô tơ,77 - 79
317,Cờ bạc,"28, 01,51"
318,Cô liên,47 - 57
319,Có máu,19 - 69 - 964
320,Cơ may,79 - 38
321,Cô tiên,17 - 35 - 19 - 91
322,Cò trắng,84 - 00
323,Cò xanh,02 - 73
324,Cối giã cua,92 - 87
325,Cối giã giò,86 - 48
326,Con bò,88
327,Con cá con,24 - 26 - 72
328,Con cáo,48 - 28
329,Con chai,68
330,Con chấy,92 - 95 - 98
331,Con chim,56 - 80
332,Con chó con,48 - 49
333,Con chó nhật,76
334,Con chó,29 - 59 - 95
335,Con chuột nhà,17 - 49
336,Con chuột,02 - 20 - 55
337,Con cóc,04
338,Con công,98 - 67
339,Con cua,67 - 89
340,Con dê,15 - 35 - 75
341,Con dệp,82 - 85
342,Con đĩ,01 - 21 - 26
343,Con đỉa,43
344,Con điên,52 - 08 - 89
345,Con ếch,28 - 43
346,Con gái mình chết,35
347,Con hạc,17 - 57
348,Con hổ,06 - 60 - 30 - 46
349,Con khỉ,72 - 27
350,Con lợn,76
351,Con lươn,56 - 90
352,Con mèo,18 - 58 - 89
353,Con mình chết,35
354,Con mọt,05 - 39
355,Con muỗi,46
356,Con nai,34 - 48
357,Con ngỗng,08 - 83
358,Con ngựa,12 - 52 - 72
359,Con nhái,"26, 62"
360,Con nhện,33 - 73
361,Con ở,"25, 65, 76"
362,Con ốc nhồi,67
363,Con ốc,65
364,Con quạ,25 - 62 - 65
365,Con rái cá,48 - 79
366,Con rắn,32 - 42 - 72
367,Con rệp,98
368,Con rết,94
369,Con rồng,10 - 50 - 90
370,Con ruồi,35
371,Con sò,48
372,Con sóc,"69, 79"
373,Con tàu,42 - 82
374,Con thỏ,08 - 48 - 69
375,Con thuyền,33 - 38
376,Con tim,11 - 31 - 51 - 71
377,Con tin,85 - 97
378,Con tôm,58
379,Con trai cho vàng,43
380,Con trai đầu lòng,79
381,Con trăn đầy người,86 - 87
382,Con trăn,03 - 63
383,Con trâu,03 - 63 - 86
384,Con trĩ,01 - 21 - 61 - 26
385,Con vẹm,61 - 62
386,Con vịt,49
387,Con voi,13 - 53
388,Công an,14 - 34 - 54
389,Cổng chào,20 - 40 - 80
390,Cống rãnh,04 - 44
391,Cổng trào,40 - 80 - 20
392,Cột điện,11
393,Củ cà rốt,01 - 51
394,Củ khoai,75 - 95
395,Củ su hào,00 - 01 - 06
396,Cua bể,05 - 46 - 65
397,Của đàn bà,27 - 87 - 28
398,Cúng chay,37 - 71
399,Cúng người chết,74
400,Cúng tổ tiên,40 - 46
402,Cuốc xẻng,65 - 54
403,Cưỡi ngựa,41
404,Cưới vợ,70 - 65 - 69
405,Cười với bản thân,21 - 61
406,Cười với nam,09 - 59
407,Cười với phụ nữ,07 - 09
408,Cưỡng ép,03 - 38 - 83
409,Cứt bám lên mặt,03 - 07
410,Cứt bám ngón tay,00 - 05
411,Cứt bê bết đi mưa,14 - 41
412,Cứt đầy ống quần phải thay,91 - 92
413,Cứt vứt vào nhà,63
414,Cứt,63 - 13
415,Cứu đàn ông khỏi chết đuối,54
416,Cứu người rơi xuống ao,07 - 16 - 18
417,Đá bóng,00 - 09 - 08 - 05
418,Đá lửa,06 - 60
419,Đái dầm,20 - 60 - 70
420,Đám cưới,07 - 09 - 75
421,Đám ma,34 - 35 - 35
422,Đắm thuyền trong ao,38 - 54
423,Đàn bà chửa,10 - 82
424,Đàn bà ghen,09 - 23
425,Đàn bà khỏa thân,03 - 32
426,Đàn chó,36 - 63
427,Đàn kiến,29
428,Đàn lợn,38 - 49
429,Đàn ông khỏa thân,15 - 51
430,Đàn ông ăn mày,04 - 54
431,Đàn ông chết,06 - 26
432,Đàn ông ghen,09 - 12 - 31
433,Đàn trâu,31 - 51
434,Đánh chết người,45 - 85
435,Đánh chết rắn,25
436,Đánh cuộc,27 - 72
437,Đánh cướp,08 - 84
438,Đánh đĩ,57 - 75
439,Đánh ghen,49 - 87
440,Đánh nhau bằng kiếm,60 - 61
441,Đánh nhau có vũ khí,03
442,Đánh nhau đổ máu,00 - 31 - 34 - 75
443,Đánh nhau ném lựu đạn,67
444,Đánh nhau,03 - 07 - 59
445,Đánh răng,67 - 47 - 79
446,Đánh vợ,52 - 51 - 53
447,Đào đất,56
448,Dao găm,07 - 17
449,Đào giếng,65
450,Đào móng nhà,47 - 74
451,Dao phay,85
452,Dao xây,16 - 61
453,Dắt bò,"02, 28"
454,Dắt trâu,29
455,Dầu hỏa,17 - 71 - 16 - 61
456,Đầu nhiều chấy,78
457,Đầu trâu,51 - 71 - 91
458,Đầu vú,38 - 39 - 84
459,Dây chuyền vàng,08 - 80
460,Dậy võ,56 - 06
461,Dây xích,04 - 46 - 61
462,Đe dọa,37 - 73 - 78
463,Đẻ ra cá,00 - 01 - 99 - 94
464,Đẻ ra mèo,01 - 23 - 62
465,Dê,56
466,Đền cổ,46 - 66
467,Đèn ông sao,44 - 55
468,Đèn thần,07 - 57 - 75
469,Đi bộ đội,15 - 53
470,Đi câu không được cá,23 - 24 - 12
471,Đi câu,64 - 74 - 24
472,Đi chơi xuân,19 - 39
473,Đi đái dắt,98 - 99
474,Đi đánh được cá,76 - 87 - 78
475,Đi đổ cứt,15 - 16 - 61
476,Đi đò dọc,73 - 37 - 32
477,Đi đò,73 - 04 - 44
478,Đi du lịch,87
479,Đi học,17
480,Đi ỉ chảy,01 - 06
481,Đi ỉ gặp người,67 - 76
482,Đi ỉa chảy,"01, 06"
483,Đi ỉa đông người,08 - 09
484,Đi ỉa gặp người,"67, 76"
485,Đi ỉa,86 - 98
486,Đi làm,01 - 21 - 26
487,Đi lễ,12 - 21
488,Đi mua giầy,56 - 06
489,Đi phà qua sông,17 - 18
490,Đi tắm,39 - 93 - 83
491,Đi tàu,39 - 87 - 78
492,Đi thi,26
493,Đi thuyền,23 - 59 - 93 - 39
494,Đi trên sông,15 - 05
495,Đi vắng,05 - 20 - 25
496,Đi về gặp mưa,08 - 70 - 07
497,Đi xa đánh nhau,93 - 39
498,Đi xa ngoại tình,23 - 59
499,Đi xe cúp,85 - 57
500,Đỉa bám đầy người,28 - 11
501,Đỉa bán vào chân,29
502,Đỉa cắn người,58
503,Địa ngục,12 - 63
504,Diều hâu,68 - 67
505,Đình chùa,01 - 40 - 80
506,Đôi bít tất,96 - 39 - 83
507,Đôi chim bồ câu,02 - 22
508,Đôi dép,33 - 81
509,Đôi giày ba ta,02 - 03
510,Đòi nợ,53 - 35
511,Đồi núi,68 - 86 - 81
512,Đôi vẹt,83 - 87
513,Đói,13 - 93 - 59
514,Đom đóm,19 - 59
515,Dọn nhà vệ sinh,26 - 62
516,Dông bão,08
517,Đồng hồ,95 - 58
518,Đống lửa,08 - 48
519,Đống rơm,25 - 50 - 27
520,Đóng thuyền,04 - 44 - 71 - 54
521,Động trạm của quý của đàn bà,65 - 63
522,Đốt lò sưởi,03 - 37
523,Đưa tang,27 - 72
524,Dùng lửa đốt súc vật,48
525,Đứng trên mái nhà,46 - 64
526,Được bạc,82
527,Được của,53 - 78 - 80
528,Được thưởng,82 - 32
529,Được tiền chia hai,05 - 50
530,Được tiền,08 - 78
531,Được vàng,01 - 10 - 15 - 75
532,Đuổi bắt,15 - 57 - 72
533,Dương vật,21 - 12 - 51
534,Ếch,86
535,Et xăng,64 - 74
536,Gà con,07 - 08
537,Gà thịt rồi,28 - 36
538,Gà trống,55 - 57
539,Gái đẹp,38 - 83
540,Gặp ăn xin,24 - 76 - 86
541,Gặp cây đa,09 - 05 - 12
542,Gặp cụ già đạo đức,41 - 64 - 62
543,Gặp đàn bà,28 - 87
544,Gặp đàn ông,26 - 27
545,Gặp gà,33 - 45 - 57
546,Gặp lợn,59 - 62 - 27
547,Gặp người nhà,70 - 75 - 78
548,Gặp người yêu,46 - 47 - 87
549,Gặp phà,28 - 52 - 93
550,Gặp tiền,01 - 76 - 67
551,Giá treo cổ,84 - 68
552,Giải thoát,84 - 85
553,Giáo viên,52 - 57
554,Giấy tờ ướt,26 - 66
555,Giếng nước,29 - 92
556,Gieo trồng,57 - 46
557,Giết lợn,82 - 32
558,Giết người,83 - 47
559,Giò chả,22 - 43
560,Giò,78 - 84 - 89
561,Giông bão,08 - 58 - 53
562,Giun,11 - 94
563,Hà mã,56
564,Hai anh em bế nhau,73
565,Hai bàn thờ,46 - 96 - 91
566,Hai bố con,32 - 82 - 98
567,Hai chị em gái đánh nhau,45 - 57
568,Hai con chó,96 - 94
569,Hai con mèo cắn nhau,86
570,Hai lần thấy mẹ,62 - 83 - 68 - 80
571,Hai người đàn ông chết đuối,04 - 06
572,Hai người khiêng quan tài,83 - 87
573,Hai quan tài,26 - 16 - 36
574,Hai thằng ăn cắp,26 - 62
575,Hãm hại,84
576,Hầm tối tăm,87 - 82 - 87
577,Hàn bánh xe,41 - 46
578,Hành kinh,67 - 68
579,Hát văn,25 - 50 - 55
580,Heo rừng,78
581,Hiện vật,65 - 56
582,Hiếp dâm,92 - 84
583,Hổ,78
584,Hoa sen,45
585,Hoa súng,10 - 20
586,Hoàng tử,83 - 38
587,Học trò,27 - 37
588,Hòm đạn,90 - 95 - 59
589,Hồn người chết,04 - 40 - 80 - 84
590,Hôn nhau,00 - 84
591,Hồn quý,75
592,Hùm beo,29 - 40
593,Hương cháy,07 - 20 - 70 - 57
594,Hương đèn,06 - 31 - 63 - 82
595,Ỉa bậy chùi đít không sạch,86 - 98 - 49 - 39
596,Kè cầu ao,66 - 61 - 70
597,Kẻ chăn trâu,13 - 31 - 60
598,Kẻ cướp,03 - 83
599,Kẻ trộm cậy cửa,79 - 20
600,Kéo thuyền trên sông,06 - 60
601,Kéo thuyền,38 - 83 - 88
602,Kêu cứu,35 - 65
603,Khách hàng,30 - 89
604,Khách sạn,32 - 47
605,Khai thác vàng,12 - 21 - 10 - 01
606,Khâm phục,37 - 73
607,Khăn mặt,73 - 96
608,Khăn màu hồng,04 - 24
609,Khăn nhung,78 - 87
610,Khẩu pháo,70 - 72
611,Khâu vá,36
612,Khí giới,07 - 70
613,Khỉ,56
614,Khiêu vũ,42 - 47 - 43
615,Khó đẻ,19 - 91 - 96
616,Khỏa thân,18 - 81 - 48 - 48
617,Khoai lang,51 - 52 - 95
618,Khoang tầu,41 - 71
619,Khoe,56 - 59
620,Kì lân,65 - 78
621,Kiếm,96
622,Kim chỉ,11 - 94 - 15
623,Lá rụng,51 - 59
624,Lá thư,75 - 76 - 83
625,Lá vàng,86 - 48
626,Lái buôn,32
627,Làm cổng,56
628,Làm nhà hộ bạn,07 - 19
629,Làm tình,19 - 69
630,Lâu đài bị đốt,03 - 87
631,Lâu đài,82 - 87
632,Lấy đàn bà điên,83
633,Lấy nước trong bể,02 - 07
634,Lịch bắt cá,21 - 32
635,Lò sưởi tắt,42 - 47
636,Lọc dầu,37 - 57 - 97
637,Lội ao vớt bèo,08 - 18
638,Lội bì bõm,04 - 09 - 32
639,Lội ruộng,09 - 90 - 99
640,Lợn cắn,17 - 71 - 61
641,Lợn đen nhỏ,38
642,Lợn nhà,39
643,Lợn quay,04 - 40
644,Lớn trắng,74 - 79
645,Lớp học đông người,81 - 84
646,Lốp xe đạp,01 - 08
647,Lửa cháy,07 - 27 - 67 - 87
648,Lửa đảo,59
649,Lửa đốt dế mèn,27 - 72
650,Lúa gạo,08 - 80
651,Lựu đạn,54 - 46
652,Ma đuổi,33 - 34 - 35
653,Ma hiện hình,37
654,Mặc áo đẹp,12 - 33
655,Mặc nhiều quần áo,79
656,Mặc nhiều quần,06
657,Mâm cơm nhiều người,29 - 94
658,Mâm cơm,78 - 87
659,Mất bô rô,52 - 28
660,Mất cắp,86 - 84 - 39
661,Mất của,35 - 44 - 66
662,Mặt nạ,30 - 35 - 32
663,Mất tiền,69 - 71
664,Mặt trăng,18 - 81
665,Mất trộm ti vi,15 - 78
666,Mất trộm,01 - 03 - 43
667,Mất ví,67
668,Mất xe đạp lại tìm thấy được,28 - 13 - 61
669,Mất xe đạp,28 - 82
670,Mất xe tìm thấy được,67 - 64
671,Mất xe tìm thấy,28 - 82 - 92
672,Mắt,62 - 82 - 11 - 21 - 91 - 15
673,Máu chảy nhiều,84 - 86 - 38
674,Màu đỏ,28 - 68 - 82
675,Màu trắng,01
676,Màu vàng,10
677,Màu xanh,09 - 90 - 45 - 95
678,Máy bay đổ,59 - 95
679,Máy bay,47 - 74 - 71 - 17
680,Máy bơm nước,25 - 52
681,Máy khâu,78 - 87
682,May quần áo mới,54
683,May,79 - 98 - 25
684,Mẹ bế con gái,64 - 14
685,Mẹ bế con trai,81 - 11 - 51
686,Mẹ con,63 - 20
687,Mẹ đỡ đầu,26 - 67 - 76
688,Mèo cắn,29 - 14 - 41
689,Mèo nằm ngủ,00 - 58
690,Mèo nhà,18 - 81
691,Mèo rừng,14 - 54 - 94
692,Mèo trắng,23 - 32
693,Mình bắn súng lục,61
694,Mình bị bắt,84
695,Mình bị đuổi,94 - 85
696,Mình chém người,56
697,Mình đá bóng,49 - 62
698,Mình đỏ,72 - 91
699,Mình ở khách sạn,64 - 69
700,Mình thoát chết,86 - 87
701,Mơ bố chết nhưng bố chưa chết,83 - 75
702,Mơ chồng ngoại tình,90 - 87
703,Mơ có vàng ngọc,03 - 63 - 83
704,Mơ đi học,17 - 41 - 91 - 71
705,Mơ hai chữ số,64 - 14
706,Mơ hiện rõ hình,96 - 46
707,Mơ lai gái,14 - 41
708,Mồ mả,36 - 76
709,Mơ mình bán hàng ăn,06 - 07
710,Mơ ngủ,33 - 35 - 73
711,Mơ người dị dạng,84 - 86
712,Mơ nhiều con số,93 - 39
713,Mơ nhiều trăn,95 - 87
714,Mơ rắn vào nhà,22 - 23 - 30
715,Mơ thấy ai chết không rõ,03 - 08
716,Mơ thấy bà,42 - 27 - 51
717,Mơ thấy bò,04 - 88
718,Mơ thấy đàn ông,28 - 59
719,Mơ thấy dế,33 - 45 - 99
720,Mơ thấy đôi vợ chồng hạnh phúc,14 - 41
721,Mơ thấy mẹ chết mà mẹ chưa chết,24 - 26
722,Mơ thấy nhiều con số,92 - 93
723,Mơ thấy tiền xu,01 - 02
724,Mơ thấy tình địch,62 - 61
725,Mơ trẻ con chết,92 - 65
726,Mỏ vàng dưới sông,38 - 39
727,Mơ vợ chết nhưng vợ chưa chết,73 - 54
728,Mơ vợ chết,93 - 39
729,Mơ vợ ngoại tình,03 - 93
730,Mồm,18 - 81 - 85
731,Món tiền nhỏ,03 - 07
732,Một mình trong quán,79
733,Mũ cứng,56 - 65
734,Mũ phớt,01 - 02
735,Mũ sắt,77 - 27 - 72
736,Mua bán,15 - 25
737,Mưa bão,29 - 69
738,Mưa nhỏ,68 - 08 - 78
739,Mua quạt điện,35
740,Mưa rào,07 - 67 - 87
741,Mưa,07 - 47 - 67 - 82
742,Mực đen,10 - 90 - 78
743,Múc nước giếng,06 - 37 - 63
744,Mũi dao,36 - 76
745,Mũi khoan,34 - 54 - 74
746,Nằm đất,92
747,Nam đèo nữ,12 - 25 - 92
748,Nam đi xe máy,88 - 38
749,Nam nữ yêu nhau,12 - 21
750,Nắng,52 - 72 - 29 - 92
751,Nạo thai,53 - 63 - 42
752,Nếm đồ chua chát,68 - 54 - 45
753,Nếm đồ ngọt,34 - 39
754,Ném vào ma,65 - 66
755,Ném,05 - 65 - 85
756,Ngã,66 - 16 - 61
757,Ngắm vuốt,17 - 38 - 81
758,Nghe caset điện yếu,74
759,Nghệ sỹ,10
760,Nghèo khổ,19 - 14
761,Nghi ngờ vàng giả,60
762,Nghi ngờ,49 - 94
763,Nghĩa địa,12 - 72 - 92
764,Ngọc hoàng,05 - 15 - 17 - 95
765,Ngọc,45 - 54 - 15
766,Ngồi gãi chấy,15 - 14 - 16
767,Ngũ hương,28 - 92
768,Ngủ lang,96 - 86
769,Ngủ với gái,21 - 61 - 28 - 75 - 57
770,Ngủ,04 - 54 - 92
771,Ngựa ăn cỏ,60 - 82
772,Ngựa bay,77
773,Ngựa,01 - 62
774,Người ăn bánh mỳ,69
775,Người bệnh,58 - 85 - 80
776,Người bị chó cắn,96
777,Người chết sống lại,85 - 37
778,Người chết,26 - 65
779,Người đàn ông ở trần,13 - 43
780,Người dân tộc đánh nhau,83 - 37
781,Người đập lửa,34 - 47 - 69
782,Người đầy bùn,32 - 86
783,Người đẻ khó,91
784,Người đòi nợ,92 - 12
785,Người già đến,56 - 86
786,Người khó đẻ,91
787,Người mẹ tốt,01 - 22 - 41
788,Người mù,62 - 82 - 68
789,Người nhà ma nhập,67 - 87 - 97
790,Người rủ đánh bạc,71
791,Người ta đánh mẹ chảy máu đầu,63 - 68 - 64
792,Người tàn tật,93 - 91
793,Người tây,13 - 43 - 93 - 98
794,Người trèo bàn thờ,95 - 59
795,Người trèo xuồng,02 - 61 - 89
796,Người xa về,45 - 75 - 32
797,Nhà bán hàng,24 - 64 - 78
798,Nhà bằng bạc,02
799,Nhà bé nhỏ,52 - 61
800,Nhà đất lợp rạ,82 - 84
801,Nhà đẹp,66 - 16
802,Nhà hát,38 - 83
803,Nhà hộ sinh,37 - 73 - 71 - 79
804,Nhà mái bằng,46 - 64
805,Nhà mát,32 - 23
806,Nhà máy,48 - 68 - 28
